ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 2016-17,Fall Membership (V33) [District Finance] 2016-17
ACHIEVEMENT FIRST BRIDGEPORT ACADEMY DISTRICT,Connecticut,CONNECTICUT,Bridgeport Achievement First,0900208,12989,1044
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,NEW YORK,ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,3600969,†,932
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,NEW YORK,ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,3600147,†,1025
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,NEW YORK,ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,3600149,†,839
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,NEW YORK,ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,3600170,†,1053
ACHIEVEMENT FIRST HARTFORD ACADEMY DISTRICT,Connecticut,CONNECTICUT,Achievement First Hartford Ac,0900212,13665,1066
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,NEW YORK,NEW YORK,ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,3601112,†,335
ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,NEW YORK,NEW YORK,ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,3601124,†,304
ACHIEVEMENT FIRST RHODE ISLAND,Rhode Island,RHODE ISLAND,Achievement First Rhode Island,4400021,15755,722
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,NEW YORK,NEW YORK,ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,3601143,†,67
ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,New York,NEW YORK,ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,3600166,†,1067
ACHIEVEMENT HOUSE CS,Pennsylvania,PENNSYLVANIA,Achievement House CS,4200128,17485,458
ACHIEVEMENT PREPARATORY ACADEMY PCS,District of Columbia,DISTRICT OF COLUMBIA,Achievement Preparatory Academy PCS,1100072,16373,940
ACHIEVEMENT SCHOOL DISTRICT,Tennessee,TENNESSEE,Achievement School District,4700147,9490,12025
ACHILLE,Oklahoma,OKLAHOMA,ACHILLE,4002370,8384,346
ACKERMAN CHARTER,California,CALIFORNIA,Ackerman Charter,0601680,†,†
ACORN MONTESSORI CHARTER SCHOOL (79437),Arizona,ARIZONA,Acorn Montessori Charter School,0400320,7299,452
ACT ACADEMY CYBER CS,Pennsylvania,PENNSYLVANIA,ACT Academy Cyber CS,4200868,12301,143
ACTON PUBLIC SCHOOLS,Maine,MAINE,Acton Public Schools,2302220,12240,341
ACTON-AGUA DULCE UNIFIED,California,CALIFORNIA,Acton-Agua Dulce Unified,0600001,2803,10016
ACTON-BOXBOROUGH,Massachusetts,MASSACHUSETTS,Acton-Boxborough,2501710,14855,5679
ACUSHNET,Massachusetts,MASSACHUSETTS,Acushnet,2501740,12961,967
AD PRIMA CS,Pennsylvania,PENNSYLVANIA,Ad Prima CS,4200129,10575,671
ADA,Oklahoma,OKLAHOMA,ADA,4002430,7935,2637
ADA EXEMPTED VILLAGE,Ohio,OHIO,Ada Exempted Village,3904518,10145,868
ADA-BORUP PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,ADA-BORUP PUBLIC SCHOOL DISTRICT,2700126,10478,558
ADAIR,Oklahoma,OKLAHOMA,ADAIR,4002460,7223,1073
ADAIR CO. R-I,Missouri,MISSOURI,ADAIR CO. R-I,2922980,9928,251
ADAIR CO. R-II,Missouri,MISSOURI,ADAIR CO. R-II,2905790,12057,176
ADAIR COUNTY,Kentucky,KENTUCKY,Adair County,2100030,9904,2631
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,IOWA,Adair-Casey Comm School District,1903090,12028,316
ADAM/BRWN/CASS/MORGN/PIK/SCTT ROE,Illinois,ILLINOIS,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,1700162,†,†
