ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 2016-17,Fall Membership (V33) [District Finance] 2016-17
LISBON PUBLIC SCHOOLS,Maine,MAINE,Lisbon Public Schools,2307530,11289,1284
LISBON REGIONAL SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Lisbon Regional School District,3304290,20985,272
LISBON SCHOOL DISTRICT,Connecticut,CONNECTICUT,LISBON SCHOOL DISTRICT,0902190,20013,393
LISLE CUSD 202,Illinois,ILLINOIS,Lisle CUSD 202,1723200,24749,1507
LITCHFIELD COMMUNITY SCHOOLS,Michigan,MICHIGAN,Litchfield Community Schools,2621750,14454,229
LITCHFIELD CUSD 12,Illinois,ILLINOIS,Litchfield CUSD 12,1723250,11785,1458
LITCHFIELD ELEMENTARY DISTRICT (4281),Arizona,ARIZONA,Litchfield Elementary District,0404380,6407,11272
LITCHFIELD PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,LITCHFIELD PUBLIC SCHOOL DISTRICT,2718210,10472,1606
LITCHFIELD PUBLIC SCHOOLS,Nebraska,NEBRASKA,LITCHFIELD PUBLIC SCHOOLS,3172910,24614,101
LITCHFIELD SAU OFFICE,New Hampshire,NEW HAMPSHIRE,Litchfield SAU Office,3399927,†,†
LITCHFIELD SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Litchfield School District,3304350,15267,1337
LITCHFIELD SCHOOL DISTRICT,Connecticut,CONNECTICUT,LITCHFIELD SCHOOL DISTRICT,0902220,21838,936
LITCHVILLE-MARION 46,North Dakota,NORTH DAKOTA,LITCHVILLE-MARION 46,3800057,20861,122
LITTLE AXE,Oklahoma,OKLAHOMA,LITTLE AXE,4017880,7004,1296
LITTLE CHUTE AREA SCHOOL DISTRICT,Wisconsin,WISCONSIN,Little Chute Area School District,5508160,10323,1572
LITTLE COMPTON,Rhode Island,RHODE ISLAND,Little Compton,4400600,24138,246
LITTLE CROW TELE-MEDIA NETWORK,Minnesota,MINNESOTA,LITTLE CROW TELE-MEDIA NETWORK,2700203,†,†
LITTLE CYPRESS-MAURICEVILLE CISD,Texas,TEXAS,LITTLE CYPRESS-MAURICEVILLE CISD,4827690,8380,3355
LITTLE EGG HARBOR TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Little Egg Harbor Township School District,3408700,18815,1570
LITTLE ELM ISD,Texas,TEXAS,LITTLE ELM ISD,4827720,8893,7375
LITTLE FALLS CITY SCHOOL DISTRICT,New York,NEW YORK,LITTLE FALLS CITY SCHOOL DISTRICT,3617460,18457,1114
LITTLE FALLS COMMUNITY SCHOOLS,Minnesota,MINNESOTA,LITTLE FALLS PUBLIC SCHOOL DISTRICT,2718240,11312,2517
LITTLE FALLS TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,Little Falls Township Public School District,3408730,17549,901
LITTLE FERRY PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,Little Ferry Public School District,3408760,16599,967
LITTLE FLOWER UNION FREE SCHOOL DISTRICT,New York,NEW YORK,LITTLE FLOWER UNION FREE SCHOOL DISTRICT,3617400,†,–
LITTLE HEART 4,North Dakota,NORTH DAKOTA,LITTLE HEART 4,3811540,9444,27
LITTLE LAKE CITY ELEMENTARY,California,CALIFORNIA,Little Lake City Elementary,0621930,11344,4454
LITTLE LAMB COMMUNITY SCHOOL (79050),Arizona,ARIZONA,Little Lamb Community School,0400217,8553,262
LITTLE MIAMI LOCAL,Ohio,OHIO,Little Miami Local,3905044,9223,4471
LITTLE RIVER,Kansas,KANSAS,Little River,2008880,11867,323
LITTLE ROCK PREPARATORY ACADEMY,Arkansas,ARKANSAS,LITTLE ROCK PREPARATORY ACADEMY,0500403,8482,411
LITTLE ROCK SCHOOL DISTRICT,Arkansas,ARKANSAS,LITTLE ROCK SCHOOL DISTRICT,0509000,12449,24383
LITTLE SHASTA ELEMENTARY,California,CALIFORNIA,Little Shasta Elementary,0621960,21364,11
LITTLE SILVER BORO SCHOOL DISTRICT,New Jersey,NEW JERSEY,LITTLE SILVER BORO SCHOOL DISTRICT,3408790,16931,851
LITTLEFIELD ISD,Texas,TEXAS,LITTLEFIELD ISD,4827750,9695,1394
LITTLEFIELD UNIFIED DISTRICT (4374),Arizona,ARIZONA,Littlefield Unified District,0404410,9806,366
LITTLEFORK-BIG FALLS SCHOOL DIST.,Minnesota,MINNESOTA,LITTLEFORK-BIG FALLS SCHOOL DIST.,2718270,13324,346
LITTLESTOWN AREA SD,Pennsylvania,PENNSYLVANIA,Littlestown Area SD,4213980,12418,1951
LITTLETON,Massachusetts,MASSACHUSETTS,Littleton,2506960,14307,1677
LITTLETON ELEMENTARY DISTRICT (4278),Arizona,ARIZONA,Littleton Elementary District,0404440,7480,5573
LITTLETON SAU OFFICE,New Hampshire,NEW HAMPSHIRE,Littleton SAU Office,3300044,†,–
LITTLETON SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Littleton School District,3304380,21980,705
LITTLETON SCHOOL DISTRICT NO. 6 IN THE COUNTY OF ARAPAHOE,Colorado,COLORADO,Littleton School District No. 6 in the county of Arapahoe,0805310,10401,15517
LIVE OAK ELEMENTARY,California,CALIFORNIA,Live Oak Elementary,0621990,11179,2069
LIVE OAK UNIFIED,California,CALIFORNIA,Live Oak Unified,0622050,11135,1806
LIVERMORE VALLEY JOINT UNIFIED,California,CALIFORNIA,Livermore Valley Joint Unified,0622110,10183,14016
LIVERPOOL CENTRAL SCHOOL DISTRICT,New York,NEW YORK,LIVERPOOL CENTRAL SCHOOL DISTRICT,3617520,18594,7279
LIVINGSTON AREA CAREER CNTR,Illinois,ILLINOIS,Livingston Area Career Cntr,1700064,†,†
LIVINGSTON AREA EDUC FOR EMPLOY,Illinois,ILLINOIS,Livingston Area Educ for Employ,1700261,†,†
LIVINGSTON BOARD OF EDUCATION SCHOOL DISTRICT,New Jersey,NEW JERSEY,Livingston Board of Education School District,3408820,18979,5998
LIVINGSTON CLASSICAL ACADEMY,MICHIGAN,MICHIGAN,Livingston Classical Cyber Academy,2601108,7482,141
LIVINGSTON CO SPEC SERVICES UNIT,Illinois,ILLINOIS,Livingston Co Spec Services Unit,1700229,†,†
LIVINGSTON CO. R-III,Missouri,MISSOURI,LIVINGSTON CO. R-III,2908790,9628,94
LIVINGSTON COLLEGIATE ACADEMY,LOUISIANA,LOUISIANA,Livingston Collegiate Academy,2200276,13564,163
LIVINGSTON COUNTY,Kentucky,KENTUCKY,Livingston County,2103510,11139,1239
LIVINGSTON ELEM,Montana,MONTANA,Livingston Elem,3016880,9443,1022
LIVINGSTON ESA,Michigan,MICHIGAN,Livingston ESA,2680700,†,–
LIVINGSTON ISD,Texas,TEXAS,LIVINGSTON ISD,4827780,9255,4069
LIVINGSTON MANOR CENTRAL SCHOOL DISTRICT,New York,NEW YORK,LIVINGSTON MANOR CENTRAL SCHOOL DISTRICT,3617580,29980,488
LIVINGSTON PARISH,Louisiana,LOUISIANA,Livingston Parish,2201020,10836,25150
LIVINGSTON UNION,California,CALIFORNIA,Livingston Union,0622170,11676,2522
LIVONIA CENTRAL SCHOOL DISTRICT,New York,NEW YORK,LIVONIA CENTRAL SCHOOL DISTRICT,3617640,19130,1577
LIVONIA PUBLIC SCHOOLS SCHOOL DISTRICT,Michigan,MICHIGAN,Livonia Public Schools School District,2621840,11509,14336
LLANO ISD,Texas,TEXAS,LLANO ISD,4827810,10342,1859
LOCKHART ISD,Texas,TEXAS,LOCKHART ISD,4827870,8635,5680
LOCKLAND LOCAL,Ohio,OHIO,Lockland Local,3904423,13067,496
LOCKNEY ISD,Texas,TEXAS,LOCKNEY ISD,4827890,11731,464
LOCKPORT AREA SPEC EDUC COOP,Illinois,ILLINOIS,Lockport Area Spec Educ Coop,1723340,†,†
LOCKPORT CITY SCHOOL DISTRICT,New York,NEW YORK,LOCKPORT CITY SCHOOL DISTRICT,3617670,17380,4746
LOCKPORT SD 91,Illinois,ILLINOIS,Lockport SD 91,1709210,10198,647
LOCKPORT TWP HSD 205,Illinois,ILLINOIS,Lockport Twp HSD 205,1723350,14433,3789
LOCKWOOD ELEM,Montana,MONTANA,Lockwood Elem,3016950,10511,1127
LOCKWOOD R-I,Missouri,MISSOURI,LOCKWOOD R-I,2919140,10542,330
LOCUST GROVE,Oklahoma,OKLAHOMA,LOCUST GROVE,4018000,7995,1457
LOCUST VALLEY CENTRAL SCHOOL DISTRICT,New York,NEW YORK,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,3617700,36588,2085
LODGE GRASS ELEM,Montana,MONTANA,Lodge Grass Elem,3017010,15786,229
LODGE GRASS H S,Montana,MONTANA,Lodge Grass H S,3017040,22383,120
LODI SCHOOL DISTRICT,Wisconsin,WISCONSIN,Lodi School District,5508190,12914,1518
LODI SCHOOL DISTRICT,New Jersey,NEW JERSEY,Lodi School District,3408850,13896,3350
LODI UNIFIED,California,CALIFORNIA,Lodi Unified,0622230,10723,30797
LOGAN,Kansas,KANSAS,Logan,2008910,14234,167
LOGAN,New Mexico,NEW MEXICO,LOGAN MUNICIPAL SCHOOLS,3501590,12430,316
LOGAN CITY DISTRICT,Utah,UTAH,LOGAN CITY DISTRICT,4900510,7474,6002
LOGAN COUNTY,Kentucky,KENTUCKY,Logan County,2103540,9139,3634
LOGAN COUNTY SCHOOLS,West Virginia,WEST VIRGINIA,LOGAN COUNTY SCHOOLS,5400690,11568,5846
LOGAN ELM LOCAL,Ohio,OHIO,Logan Elm Local,3904908,10699,1812
LOGAN RE-1 VALLEY AU,Colorado,COLORADO,LOGAN RE-1 VALLEY,0800235,†,†
LOGAN TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Logan Township School District,3408880,18813,848
LOGAN VIEW PUBLIC SCHOOLS,Nebraska,NEBRASKA,LOGAN VIEW PUBLIC SCHOOLS,3100114,13018,557
LOGAN-HOCKING LOCAL,Ohio,OHIO,Logan-Hocking Local,3904424,10776,3779
LOGAN-MAGNOLIA COMM SCHOOL DISTRICT,Iowa,IOWA,Logan-Magnolia Comm School District,1917460,11306,588
LOGAN-ROGERSVILLE R-VIII,Missouri,MISSOURI,LOGAN-ROGERSVILLE R-VIII,2919170,8497,2288
LOGANSPORT COMMUNITY SCH CORP,Indiana,INDIANA,Logansport Community Sch Corp,1806030,10777,4292
LOHN ISD,Texas,TEXAS,LOHN ISD,4827930,17115,96
LOLETA UNION ELEMENTARY,California,CALIFORNIA,Loleta Union Elementary,0622320,12866,305
LOLO ELEM,Montana,MONTANA,Lolo Elem,3017130,11372,535
LOMA PRIETA JOINT UNION ELEMENTARY,California,CALIFORNIA,Loma Prieta Joint Union Elementary,0622350,12505,507
LOMBARD SD 44,Illinois,ILLINOIS,Lombard SD 44,1723460,20744,3197
LOMEGA,Oklahoma,OKLAHOMA,LOMEGA,4022950,11186,253
LOMETA ISD,Texas,TEXAS,LOMETA ISD,4827960,12767,275
LOMIRA SCHOOL DISTRICT,Wisconsin,WISCONSIN,Lomira School District,5508220,11555,1022
LOMPOC UNIFIED,California,CALIFORNIA,Lompoc Unified,0622410,10324,10139
LONDON ACADEMY,Ohio,OHIO,London Academy,3900262,5691,243
LONDON CITY,Ohio,OHIO,London City,3904425,9637,2031
LONDON ISD,Texas,TEXAS,LONDON ISD,4827990,8539,959
LONDONDERRY SAU OFFICE,New Hampshire,NEW HAMPSHIRE,Londonderry SAU Office,3399912,†,–
LONDONDERRY SCHOOL DISTRICT,New Hampshire,NEW HAMPSHIRE,Londonderry School District,3304410,16548,4265
LONDONDERRY SCHOOL DISTRICT,Vermont,VERMONT,Londonderry School District,5005190,†,†
LONE GROVE,Oklahoma,OKLAHOMA,LONE GROVE,4018090,6991,1474
LONE JACK C-6,Missouri,MISSOURI,LONE JACK C-6,2919230,9618,631
LONE OAK ISD,Texas,TEXAS,LONE OAK ISD,4828020,9422,1032
LONE PINE UNIFIED,California,CALIFORNIA,Lone Pine Unified,0622440,18314,299
LONE ROCK ELEM,Montana,MONTANA,Lone Rock Elem,3017190,9674,230
LONE STAR,Oklahoma,OKLAHOMA,LONE STAR,4018240,6164,870
LONE STAR LANGUAGE ACADEMY,TEXAS,TEXAS,THE LONE STAR LANGUAGE ACADEMY,4801452,†,†
LONE STAR SCHOOL DISTRICT,Texas,TEXAS,TEXAS JUVENILE JUSTICE DEPARTMENT,4801432,†,1054
LONE STAR SCHOOL DISTRICT NO. 101,Colorado,COLORADO,Lone Star School District No. 101,0805340,13678,115
LONE TREE 6,North Dakota,NORTH DAKOTA,LONE TREE 6,3811610,13314,51
LONE TREE COMM SCHOOL DISTRICT,Iowa,IOWA,Lone Tree Comm School District,1917550,12020,402
LONE WOLF,Oklahoma,OKLAHOMA,LONE WOLF,4018270,9297,118
LONEDELL R-14,Missouri,MISSOURI,LONEDELL R-XIV,2919200,8045,447
LONETREE SPECIAL ED UNIT,North Dakota,NORTH DAKOTA,LONETREE SPECIAL ED UNIT,3880160,†,†
LONG BEACH CITY SCHOOL DISTRICT,New York,NEW YORK,LONG BEACH CITY SCHOOL DISTRICT,3617730,31347,3930
LONG BEACH ISLAND CONSOLIDATED SCHOOL DISTRICT,New Jersey,NEW JERSEY,Long Beach Island Consolidated School District,3408910,30898,226
LONG BEACH SCHOOL DIST,Mississippi,MISSISSIPPI,LONG BEACH SCHOOL DIST,2802670,7887,3285
LONG BEACH UNIFIED,California,CALIFORNIA,Long Beach Unified,0622500,12227,76428
LONG BEACH UNIFIED ROP,California,CALIFORNIA,Long Beach Unified ROP,0600108,†,0
LONG BRANCH PUBLIC SCHOOL DISTRICT,New Jersey,NEW JERSEY,LONG BRANCH PUBLIC SCHOOL District,3408940,18822,5798
LONG COUNTY,Georgia,GEORGIA,Long County,1303360,8420,3582
LONG CREEK SD 17,Oregon,OREGON,Long Creek SD 17,4107530,34233,30
LONG HILL TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Long Hill Township School District,3412660,19746,838
LONG ISLAND PUBLIC SCHOOLS,Maine,MAINE,Long Island Public Schools,2300009,16167,24
LONG LAKE CENTRAL SCHOOL DISTRICT,New York,NEW YORK,LONG LAKE CENTRAL SCHOOL DISTRICT,3617760,54349,63
LONG PRAIRIE-GREY EAGLE SCHOOL DIST,Minnesota,MINNESOTA,LONG PRAIRIE-GREY EAGLE SCHOOL DIST,2700109,12498,886
LONGLEAF SCHOOL OF THE ARTS,North Carolina,NORTH CAROLINA,Longleaf School of the Arts,3700337,7473,332
LONGMEADOW,Massachusetts,MASSACHUSETTS,Longmeadow,2506990,14855,2889
LONGVIEW ISD,Texas,TEXAS,LONGVIEW ISD,4828110,8480,8705
LONGVIEW SCHOOL DISTRICT,Washington,WASHINGTON,Longview School District,5304470,11488,6828
LONGWOOD CENTRAL SCHOOL DISTRICT,New York,NEW YORK,LONGWOOD CENTRAL SCHOOL DISTRICT,3619230,23516,9164
LONOKE SCHOOL DISTRICT,Arkansas,ARKANSAS,LONOKE SCHOOL DISTRICT,0509060,9123,1812
LOOGOOTEE COMMUNITY SCH CORP,Indiana,INDIANA,Loogootee Community Sch Corp,1806060,8796,922
LOOKEBA SICKLES,Oklahoma,OKLAHOMA,LOOKEBA SICKLES,4018390,8556,270
LOOMIS PUBLIC SCHOOLS,Nebraska,NEBRASKA,LOOMIS PUBLIC SCHOOLS,3172990,16995,218
LOOMIS UNION ELEMENTARY,California,CALIFORNIA,Loomis Union Elementary,0622560,6038,4193
LOON LAKE SCHOOL DISTRICT,Washington,WASHINGTON,Loon Lake School District,5304500,8771,205
LOOP ISD,Texas,TEXAS,LOOP ISD,4828140,15455,134
LOPATCONG TOWNSHIP SCHOOL DISTRICT,New Jersey,NEW JERSEY,Lopatcong Township School District,3409000,13976,804
LOPEZ SCHOOL DISTRICT,Washington,WASHINGTON,Lopez School District,5304530,17287,244
LORAIN CITY,Ohio,OHIO,Lorain City,3904426,13102,6623
LORAIN COUNTY ESC,Ohio,OHIO,Lorain County ESC,3904810,†,†
LORAIN COUNTY JVS,Ohio,OHIO,Lorain County JVS,3905122,†,0
LORAIN K-12 DIGITAL ACADEMY,Ohio,OHIO,Lorain K-12 Digital Academy,3900273,10690,87
LORAIN PREPARATORY ACADEMY,Ohio,OHIO,Lorain Preparatory Academy,3900587,10335,349
LORAINE ISD,Texas,TEXAS,LORAINE ISD,4828170,12112,170
LORD BEACONSFIELD LANDRY-OLIVER PERRY WALKER HIGH,LOUISIANA,LOUISIANA,Lord Beaconsfield Landry-Oliver Perry Walker High,2200207,11225,1207
LORDSBURG,New Mexico,NEW MEXICO,LORDSBURG MUNICIPAL SCHOOLS,3501620,12581,499
LORDSTOWN LOCAL,Ohio,OHIO,Lordstown Local,3905020,15827,492
LORENA ISD,Texas,TEXAS,LORENA ISD,4828200,8925,1696
LORENZO ISD,Texas,TEXAS,LORENZO ISD,4828230,20202,277
LOS ALAMITOS UNIFIED,California,CALIFORNIA,Los Alamitos Unified,0622590,10443,9904
LOS ALAMOS,New Mexico,NEW MEXICO,LOS ALAMOS PUBLIC SCHOOLS,3501650,10804,3662
LOS ALTOS ELEMENTARY,California,CALIFORNIA,Los Altos Elementary,0622650,14118,4527
LOS ANGELES COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,Los Angeles County Office of Education,0691078,49015,6937
LOS ANGELES COUNTY ROP,California,CALIFORNIA,Los Angeles County ROP,0600110,†,0
LOS ANGELES UNIFIED,California,CALIFORNIA,Los Angeles Unified,0622710,13549,633621
LOS ANGELES UNIFIED ROCP,California,CALIFORNIA,Los Angeles Unified ROCP,0600109,†,0
LOS BANOS UNIFIED,California,CALIFORNIA,Los Banos Unified,0622740,10698,10785
LOS FRESNOS CISD,Texas,TEXAS,LOS FRESNOS CISD,4828290,9240,10840
LOS GATOS UNION ELEMENTARY,California,CALIFORNIA,Los Gatos Union Elementary,0622830,11859,3263
LOS GATOS-SARATOGA UNION HIGH,California,CALIFORNIA,Los Gatos-Saratoga Joint Union High,0622800,15955,3368
LOS LUNAS,New Mexico,NEW MEXICO,LOS LUNAS PUBLIC SCHOOLS,3501680,8874,8541
LOS MOLINOS UNIFIED,California,CALIFORNIA,Los Molinos Unified,0622860,12804,593
LOS NIETOS,California,CALIFORNIA,Los Nietos,0622890,13285,1645
LOS OLIVOS ELEMENTARY,California,CALIFORNIA,Los Olivos Elementary,0622920,14870,146
LOST HILLS UNION ELEMENTARY,California,CALIFORNIA,Lost Hills Union Elementary,0622950,13649,567
LOST RIVER CAREER COOPERATIVE,Indiana,INDIANA,Lost River Career Cooperative,1800036,†,†
LOSTANT CUSD 425,Illinois,ILLINOIS,Lostant CUSD 425,1700120,12420,119
LOUDON COUNTY,Tennessee,TENNESSEE,Loudon County,4702520,8948,4845
LOUDONVILLE-PERRYSVILLE EXEMPTED VILLAGE,Ohio,OHIO,Loudonville-Perrysville Exempted Village,3904546,11552,1117
LOUDOUN COUNTY PUBLIC SCHOOLS,Virginia,VIRGINIA,LOUDOUN CO PBLC SCHS,5102250,14177,78348
LOUISA COUNTY PUBLIC SCHOOLS,Virginia,VIRGINIA,LOUISA CO PBLC SCHS,5102280,11252,4864
LOUISA-MUSCATINE COMM SCHOOL DISTRICT,Iowa,IOWA,Louisa-Muscatine Comm School District,1917820,10927,782
LOUISBURG,Kansas,KANSAS,Louisburg,2008970,8536,1790
LOUISE ISD,Texas,TEXAS,LOUISE ISD,4828350,10191,482
LOUISIANA KEY ACADEMY BATON ROUGE,LOUISIANA,LOUISIANA,Louisiana Key Academy,2200213,12617,295
LOUISIANA R-II,Missouri,MISSOURI,LOUISIANA R-II,2919260,9052,768
LOUISIANA SCHOOL FOR MATH SCIENCE & THE ARTS,Louisiana,LOUISIANA,Louisiana School for Math Science & the Arts,2200017,25958,330
LOUISIANA SPECIAL EDUCATION CENTER,Louisiana,LOUISIANA,Louisiana Special Education Center,2200020,†,31
LOUISIANA VIRTUAL CHARTER ACADEMY,LOUISIANA,LOUISIANA,Louisiana Virtual Charter Academy,2200233,8585,1913
LOUISVILLE CITY,Ohio,OHIO,Louisville City,3904987,9531,2858
LOUISVILLE MUNICIPAL SCHOOL DIST,Mississippi,MISSISSIPPI,LOUISVILLE MUNICIPAL SCHOOL DIST,2802700,8778,2874
LOUISVILLE PUBLIC SCHOOLS,Nebraska,NEBRASKA,LOUISVILLE PUBLIC SCHOOLS,3173050,11565,642
LOUP CITY PUBLIC SCHOOLS,Nebraska,NEBRASKA,LOUP CITY PUBLIC SCHOOLS,3173090,13726,365
LOUP COUNTY PUBLIC SCHOOLS,Nebraska,NEBRASKA,LOUP COUNTY PUBLIC SCHOOLS,3173120,30212,66
LOVEJOY ISD,Texas,TEXAS,LOVEJOY ISD,4828380,10694,4070
LOVELADY ISD,Texas,TEXAS,LOVELADY ISD,4828410,9858,534
LOVELAND CITY,Ohio,OHIO,Loveland City,3904427,10375,4712
LOVEWORKS ACADEMY FOR ARTS,Minnesota,MINNESOTA,LOVEWORKS ACADEMY FOR ARTS,2700273,14356,205
LOVING,New Mexico,NEW MEXICO,LOVING MUNICIPAL SCHOOLS,3501710,12272,563
LOVINGTON,New Mexico,NEW MEXICO,LOVINGTON MUNICIPAL SCHOOLS,3501740,9303,3704
LOWELL,Massachusetts,MASSACHUSETTS,Lowell,2507020,15054,14567
LOWELL AREA SCHOOLS,Michigan,MICHIGAN,Lowell Area Schools,2622050,8965,3876
LOWELL COMMUNITY CHARTER PUBLIC (DISTRICT),Massachusetts,MASSACHUSETTS,Lowell Community Charter Public (District),2500065,14736,817
LOWELL JOINT,California,CALIFORNIA,Lowell Joint,0623010,9647,3153
LOWELL MIDDLESEX ACADEMY CHARTER (DISTRICT),Massachusetts,MASSACHUSETTS,Lowell Middlesex Academy Charter (District),2500033,18489,94
LOWELL PUBLIC SCHOOLS,Maine,MAINE,Lowell Public Schools,2300063,†,†
LOWELL SCHOOL DISTRICT,Vermont,VERMONT,Lowell School District,5005220,14139,108
LOWELL SD 71,Oregon,OREGON,Lowell SD 71,4107590,8137,585
LOWELLVILLE LOCAL,Ohio,OHIO,Lowellville Local,3904833,10779,538
LOWER CAPE MAY REGIONAL SCHOOL DISTRICT,New Jersey,NEW JERSEY,Lower Cape May Regional School District,3409090,20974,1393
LOWER DAUPHIN SD,Pennsylvania,PENNSYLVANIA,Lower Dauphin SD,4214100,13992,3712
LOWER KUSKOKWIM SCHOOL DISTRICT,Alaska,ALASKA,Lower Kuskokwim School District,0200001,32652,4267
LOWER MERION SD,Pennsylvania,PENNSYLVANIA,Lower Merion SD,4214160,25876,8387
LOWER MORELAND TOWNSHIP SD,Pennsylvania,PENNSYLVANIA,Lower Moreland Township SD,4214190,17545,2263
LOWER PIONEER VALLEY EDUCATIONAL COLLABORATIVE,MASSACHUSETTS,MASSACHUSETTS,Lower Pioneer Valley Educational Collaborative,2500584,†,†
LOWER TOWNSHIP ELEMENTARY SCHOOL DISTRICT,New Jersey,NEW JERSEY,Lower Township Elementary School District,3409150,17656,1732
LOWER YUKON SCHOOL DISTRICT,Alaska,ALASKA,Lower Yukon School District,0200003,28349,2013
LOWNDES CO SCHOOL DIST,Mississippi,MISSISSIPPI,LOWNDES CO SCHOOL DIST,2802730,9612,5300
LOWNDES COUNTY,Georgia,GEORGIA,Lowndes County,1303390,9033,10681
LOWNDES COUNTY,Alabama,ALABAMA,Lowndes County,0102160,12814,1508
LOWPOINT-WASHBURN CUSD 21,Illinois,ILLINOIS,Lowpoint-Washburn CUSD 21,1740920,14377,363
LOWREY,Oklahoma,OKLAHOMA,LOWREY,4018480,7738,160
LOWVILLE ACADEMY & CENTRAL SCHOOL DISTRICT,New York,NEW YORK,LOWVILLE ACADEMY & CENTRAL SCHOOL DISTRICT,3617820,17153,1356
LOYAL SCHOOL DISTRICT,Wisconsin,WISCONSIN,Loyal School District,5508250,13148,500
LOYALSOCK TOWNSHIP SD,Pennsylvania,PENNSYLVANIA,Loyalsock Township SD,4214310,11981,1499
LOYSVILLE YOUTH DEV CTR,Pennsylvania,PENNSYLVANIA,Loysville Youth Dev Ctr,4209932,†,86
LSU LABORATORY SCHOOL,Louisiana,LOUISIANA,LSU Laboratory School,2200022,9187,1447
LUBBOCK ISD,Texas,TEXAS,LUBBOCK ISD,4828500,9410,28515
LUBBOCK-COOPER ISD,Texas,TEXAS,LUBBOCK-COOPER ISD,4815180,8174,5969
LUCAS LOCAL,Ohio,OHIO,Lucas Local,3904944,11122,510
LUCERNE ELEMENTARY,California,CALIFORNIA,Lucerne Elementary,0623040,11871,264
LUCERNE VALLEY UNIFIED,California,CALIFORNIA,Lucerne Valley Unified,0600015,3960,2638
LUCIA MAR UNIFIED,California,CALIFORNIA,Lucia Mar Unified,0623080,10779,10649
LUCK SCHOOL DISTRICT,Wisconsin,WISCONSIN,Luck School District,5508280,11778,465
LUDINGTON AREA SCHOOL DISTRICT,Michigan,MICHIGAN,Ludington Area School District,2622200,9840,2143
LUDLOW,Massachusetts,MASSACHUSETTS,Ludlow,2507050,16159,2679
LUDLOW CCSD 142,Illinois,ILLINOIS,Ludlow CCSD 142,1723700,16413,80
LUDLOW INDEPENDENT,Kentucky,KENTUCKY,Ludlow Independent,2103630,11139,830
LUDLOW SCHOOL DISTRICT,Vermont,VERMONT,Ludlow School District,5005250,20060,117
LUEDERS-AVOCA ISD,Texas,TEXAS,LUEDERS-AVOCA ISD,4828530,15704,108
LUFKIN ISD,Texas,TEXAS,LUFKIN ISD,4828550,9017,8216
LUKFATA,Oklahoma,OKLAHOMA,LUKFATA,4018570,6949,374
LULING ISD,Texas,TEXAS,LULING ISD,4828590,8161,1445
LUMBERTON ISD,Texas,TEXAS,LUMBERTON ISD,4813530,7810,3911
LUMBERTON PUBLIC SCHOOL DISTRICT,Mississippi,MISSISSIPPI,LUMBERTON PUBLIC SCHOOL DISTRICT,2802760,11116,577
LUMBERTON TOWNSHIP BOARD OF EDUCATION,New Jersey,NEW JERSEY,Lumberton Township Board of Education,3409180,17952,1361
LUMEN SCHOLAR INSTITUTE,UTAH,UTAH,LUMEN SCHOLAR INSTITUTE,4900182,5718,493
LUMIN EDUCATION,Texas,TEXAS,LUMIN EDUCATION,4800089,9922,293
LUMPKIN COUNTY,Georgia,GEORGIA,Lumpkin County,1303420,10203,3822
LUNENBURG,Massachusetts,MASSACHUSETTS,Lunenburg,2507080,13892,1627
LUNENBURG COUNTY PUBLIC SCHOOLS,Virginia,VIRGINIA,LUNENBURG CO PBLC SCHS,5102310,10067,1563
LUNENBURG SCHOOL DISTRICT,Vermont,VERMONT,Lunenburg School District,5005280,9266,184
LUSTRE ELEM,Montana,MONTANA,Lustre Elem,3017340,12525,40
LUTHER,Oklahoma,OKLAHOMA,LUTHER,4018630,7653,795
LUTHER BURBANK,California,CALIFORNIA,Luther Burbank,0623130,13800,520
LUTHER ELEM,Montana,MONTANA,Luther Elem,3017370,11667,30
LUTIE R-VI,Missouri,MISSOURI,LUTIE R-VI,2923400,17558,120
LUVERNE COMM SCHOOL DISTRICT,Iowa,IOWA,LuVerne Comm School District,1917880,9573,171
LUVERNE PUBLIC SCHOOL DISTRICT,Minnesota,MINNESOTA,LUVERNE PUBLIC SCHOOL DISTRICT,2718330,10206,1280
LUXEMBURG-CASCO SCHOOL DISTRICT,Wisconsin,WISCONSIN,Luxemburg-Casco School District,5508340,10144,1928
LUZ ACADEMY OF TUCSON INC (4427),Arizona,ARIZONA,Luz Academy of Tucson  Inc,0400125,†,0
